                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7315,                 4.4305,                 2.6805,                  1.258,                0.37337,                0.27628,                0.20088,                0.09714,                0.29254,                0.14438,                0.07129,                0.02919,                 1.7117,                 4.0244,                 1.8541,                  1.145,             0.00033268,             0.00033268,             0.00033268
                      2,                 1.4656,                 3.8083,                 1.5875,                 1.1162,                0.38547,                0.30957,                0.24352,                0.13511,                0.30826,                0.15637,                0.09665,                0.04553,                 1.3564,                 3.8448,                 1.5735,                 1.0327,             0.00063305,             0.00063305,             0.00063305
                      3,                 1.3989,                 3.7396,                 1.4348,                 1.0825,                0.38635,                0.32936,                0.24425,                0.13932,                0.31155,                0.17287,                0.09551,                0.04446,                 1.3682,                 3.8293,                 1.5017,                 1.0269,             0.00090041,             0.00090041,             0.00090041
                      4,                 1.3807,                  3.702,                 1.3858,                 1.0713,                0.42497,                0.34283,                0.27554,                0.15783,                0.31058,                0.15257,                0.09131,                0.04459,                 1.3356,                 3.8407,                 1.4845,                 1.0109,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.3522,                  3.687,                 1.3552,                 1.0565,                 0.4372,                0.37834,                 0.2958,                0.17576,                0.33956,                0.20465,                0.12235,                0.06083,                 1.2708,                 3.6817,                 1.3768,                 1.0027,               0.000802,               0.000802,               0.000802
                      6,                 1.3332,                 3.6292,                 1.3376,                 1.0504,                 0.4377,                0.37339,                0.29229,                0.17636,                0.34314,                0.21636,                 0.1308,                 0.0638,                 1.2346,                 3.7722,                 1.3805,                0.98334,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.3133,                 3.6055,                 1.3175,                  1.044,                0.44635,                0.38021,                0.30069,                0.17033,                 0.3471,                0.19399,                0.12352,                0.05756,                 1.3658,                 3.7694,                 1.4765,                 1.0176,               0.000703,               0.000703,               0.000703
                      8,                 1.3033,                 3.5881,                 1.2918,                 1.0343,                0.45017,                0.36374,                0.29829,                0.17252,                0.34486,                0.16397,                0.10715,                0.05269,                 1.2947,                 3.7761,                 1.4408,                0.98852,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.2932,                 3.5724,                 1.2951,                  1.034,                0.46215,                0.36814,                0.30045,                0.17647,                 0.3626,                0.19867,                0.12789,                 0.0623,                 1.2718,                 3.7133,                 1.4485,                0.98975,               0.000604,               0.000604,               0.000604
                     10,                 1.2788,                 3.5238,                  1.268,                 1.0317,                 0.4502,                0.37414,                0.29719,                0.17817,                0.35904,                0.19484,                0.12498,                0.06158,                 1.2417,                 3.6888,                 1.3929,                0.98686,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.2822,                 3.7729,                 1.3767,                 1.0283,                0.47064,                0.39316,                0.32764,                0.19928,                0.36463,                0.22684,                0.15933,                0.07865,                 1.2314,                 3.6247,                  1.317,                0.96765,               0.000505,               0.000505,               0.000505
                     12,                 1.2561,                 3.7449,                 1.3412,                 1.0205,                 0.4716,                0.39711,                0.32488,                0.20035,                0.37542,                0.21554,                0.15492,                0.07897,                 1.2124,                 3.6146,                 1.3324,                 0.9563,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.2533,                 3.6916,                 1.3134,                 1.0235,                0.47178,                0.38666,                0.32262,                0.19484,                 0.3747,                0.21861,                0.15661,                0.07739,                 1.2251,                 3.5839,                 1.2609,                0.95473,               0.000406,               0.000406,               0.000406
                     14,                 1.2527,                 3.6646,                 1.2861,                 1.0214,                0.47599,                  0.389,                0.32825,                0.19685,                0.39281,                 0.2031,                0.15389,                0.07716,                  1.257,                 3.5403,                 1.2706,                0.96202,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.2446,                  3.641,                 1.2813,                  1.021,                 0.4926,                0.39927,                0.34301,                0.21344,                0.38818,                0.22587,                0.16799,                0.08585,                   1.16,                 3.4792,                 1.2234,                0.94598,               0.000307,               0.000307,               0.000307
                     16,                 1.2239,                 3.5988,                 1.2643,                 1.0145,                  0.486,                0.39957,                0.34041,                0.20397,                0.39263,                0.22945,                0.16991,                0.08277,                 1.2453,                 3.5118,                 1.2592,                0.95856,              0.0002575,              0.0002575,              0.0002575
                     17,                 1.2182,                 3.5548,                 1.2409,                 1.0119,                0.48363,                0.39347,                0.33615,                0.20587,                   0.39,                0.21275,                0.15911,                0.08128,                 1.2025,                 3.4604,                 1.2572,                0.94913,               0.000208,               0.000208,               0.000208
                     18,                 1.2179,                 3.5321,                 1.2375,                 1.0138,                 0.4952,                0.39699,                0.34322,                0.20883,                0.39739,                0.22256,                0.16834,                0.08298,                 1.2173,                 3.4707,                 1.2416,                0.95669,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.2125,                 3.5266,                 1.2292,                 1.0104,                0.49803,                0.40108,                 0.3464,                 0.2123,                0.39381,                0.21541,                 0.1644,                0.08293,                 1.2016,                 3.4274,                 1.2379,                 0.9557,               0.000109,               0.000109,               0.000109
                     20,                 1.2109,                  3.509,                  1.215,                 1.0128,                0.49964,                0.40374,                0.34543,                0.21011,                 0.3962,                0.21818,                0.16555,                0.08303,                 1.2232,                 3.4341,                 1.2283,                0.95792,               5.95e-05,               5.95e-05,               5.95e-05
